**Buildings_Street|**Buildings_HouseNum|**Buildings_HouseNumPart|**Table_Documents_BildNum1|**Buildings_LiteraNum|Window~Key|**Buildings_Postal_Iindex|**Table_Documents_AppartNum1|**Buildings_Corn_street|**Buildings_Corn_House|**Buildings_ConstructionNum
"Николоямская улица"|"51"||"2"||3599|||||
"Солянка улица"|"15"|"/18-16"|"4"||3600|||||
"Архангельский переулок"|"10"||"2"||3601|||||
"Кожевническая улица"|"19"||"6"||3602|||||
"Елоховский проезд"|"3"||"1"||3603|||||
"Гончарная улица"|"16"||"1"||3604|||||
"Новинский бульвар"|"17"||||3605|||||
"Старая Басманная улица"|"20"|"  к. 8"|"2"||3606|||||
"Гончарная улица"|"14"||||3607|||||
"Пречистенка улица"|"37"||"1, 2"||3608|||||
"Климентовский переулок"|"1"||||3609|||||
"Михалковская улица"|"38"||"1, 2, 3, 4"||3610|||||
"Карамышевская набережная"|"13"||||3611|||||
"Воронцово Поле улица"|"6"||"13"||3612|||||
"Летняя улица"|"6"||"1"||3613|||||
"Поварская улица"|"8"|"/1"|"2"||3614|||||
"Никольская улица"|"4"|"/5"|||3615|||||
"Маршала Бирюзова улица"|"21"||||3616|||||
"Кадашевская набережная"|"10"||"1"||3617|||||
"1-ы Краснокурсантский проезд"|"7"||"1"||3618|||||
"Восточная улица"|"6"||||3619|||||
"Новинский бульвар"|"25"||"1"||3620|||||
"Сокольнический вал"|"1"||||3621|||||
"Оружейный переулок"|"3"||"1"||3622|||||
"Малый Трёхсвятительский переулок"|"3"||||3623|||||
"Тверской бульвар"|"14"||"5"||3624|||||
"Воронцовский парк"|"2"||"1"||3625|||||
"Тверская улица"|"17"||"1"||3626|||||
"Ленинградский проспект"|"40"||||3627|||||
"Новокузнецкая улица"|"42"||"2"||3628|||||
"Милютинский переулок"|"17"||"1"||3629|||||
"Школьная улица"|"17"||||3630|||||
"Большая Лубянка улица"|"14"||"3"||3631|||||
"Малый Власьевский преулок"|"5"||"2"||3632|||||
"1-й Неаполимовский переулок"|"6"||||3633|||||
"Воронцовская улица"|"6"||"1"||3634|||||
"Большая Полянка улица"|"55"||"2"||3635|||||
"Летняя улица"|"4"||"4, 3, 2"||3636|||||
"Адрес не указан"|||||3638|||||
"Хлебный переулок"|"2"|"/3"|"3, 4"||3640|||||
"Андропова проспект"|"39"||"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13"||3641|||||
"Котельническая набережная"|"1"|"/15"|||3642|||||
"Красная площадь"|"5"||||3643|||||
"Пятницкая улица"|"48"||"4"||3644|||||
"Песочная аллея"|"5"||"3"||3645|||||
"Шухова улица"|"10"||||3646|||||
"Усачёва улица"|"1"||"1, 2, 3, 3а"||3647|||||
"Пятницкая улица"|"12"||||3648|||||
"Джавахарлала Неру площадь, Ломоносовский пр."|"1"||||3649|||||
"Монументальная скульптура"|||||3650|||||
"Школьная улица"|"47"||||3651|||||
"Щетининский переулок"|"10,  12"||||3652|||||
"Летняя улица"|"1"||"1"||3653|||||
"Гранатный переулок"|"22"||"1"||3654|||||
"Звенигородская улица"|"14"||"Б"||3655|||||
"Хохловский переулок"|"10"||"1"||3656|||||
"Русаковская улица"|"7"||"1, 2, 3"||3657|||||
"Пятницкая улица"|"21"||"2"||3658|||||
"Пятницкая улица"|"30"||"1, 3"||3659|||||
"1-я Останкинская улица"|"7"||"2"||3660|||||
"Преображенский районный суд"|||||3661|||||
"Никитский бульвар"|"11"|"/12"|"1-4"||3662|||||
"Товарищеский переулок"|"31"||"1"||3663|||||
"Новинский бульвар"|"25-27"||"8, 10"||3664|||||
"Старая Басманная улица"|"23"|"/9"|"2"||3665|||||
"Садовническая улица"|"63"||"4, 6"||3666|||||
"Бобров переулок"|"5; 7"||||3667|||||
"Новая Басманная улица"|"14"||"1"||3668|||||
"Иваньковское шоссе"|"8"||||3669|||||
"Моховая улица"|"11"||"6"||3670|||||
"Тверская улица"|"19"|"а"|||3671|||||
"Большая Ордынка улица"|"63"||"1"||3672|||||
"Образцова улица"|"27"||||3673|||||
"Столешников переулок"|"9"||"5"||3674|||||
"Контракт"|||||3675|||||
"Ленинский проспект"|"17"||||3676|||||
"Новинский бульвар"|"7"||"3"||3677|||||
"Волоколамское шоссе"|"52"||||3678|||||
"Воронцовский парк"|"6; 7"||||3679|||||
"Петровский бульвар"|"8"||"1"||3680|||||
"Тверская улица"|"31"|"/4"|"1"||3681|||||
"Мясницкая улица"|"24"||||3682|||||
"Тихая улица"|"23"||"1"||3683|||||
"Николоямская улица"|"52"||"1"||3684|||||
"Крапивенский переулок"|"3"||"2"||3685|||||
"Гоголевский бульвар"|"10"|"/11"|"2, 4"||3686|||||
"Садовническая улица"|"10"||"1"||3687|||||
"Пречистенка улица"|"35"||"4, 1,2,3,5"||3688|||||
"Малая Дмитровка улица"|"12"|"/1"|"1"||3689|||||
"Большая Никитская улица"|"9"|"/15"|"1"||3690|||||
"Столешников переулок"|"10"|"/18"|||3691|||||
"Тверская улица"|"14"||"1"||3692|||||
"Шепелев Ф.Л."|||||3693|||||
"Протопоповский переулок"|"19"||"5, 6, 7, 10, 14"||3694|||||
"Большая Ордынка улица"|"17"||"1"||3695|||||
