**Buildings_Street|**Buildings_HouseNum|**Buildings_HouseNumPart|**Table_Documents_BildNum1|**Buildings_LiteraNum|Window~Key|**Buildings_Postal_Iindex|**Table_Documents_AppartNum1|**Buildings_Corn_street|**Buildings_Corn_House|**Buildings_ConstructionNum
"Александра Солженицына"|"25"||"1,1А,1Б"||4455|||||
"Садовая-Кудринская улица"|"7"||"22"||4456|||||
"Лубянский проезд"|"25"||"2"||4457|||||
"Покровский бульвар"|"16/10"||"7"||4458|||||
"Арбитражный суд"|||||4459|||||
"Сергия Радонежского улица"|"19"|"корп. 3"|||4460|||||
"Замоскворецкий р-ный"|||||4461|||||
"Мира проспект"|"9"||"1"||4462|||||
"Котельническая набережная"|"1/15"||"корп В"||4463|||||
|||||4464|||||
"Мясницкая улица"|"40"||"5"||4465|||||
"Малахитовая улица, Бажова"|||||4466|||||
"Долина р. Яузы от Малахитовой ул. до Будайскокой"|||||4467|||||
"Станиславского"|"21"||"22"||4468|||||
"Арбитражный суд"|||||4469|||||
"Каланчевский тупик"|||||4470|||||
"Арбитражный суд"|||||4471|||||
"Скаковая улица"|"3"||||4472|||||
"Николоямская улица"|"52"||"1"||4473|||||
"Большая Полянка улица"|"65/74"||"3"||4474|||||
"Чистопрудный бульвар"|"12"||"7"||4475|||||
"Энтузиастов шоссе"|"58"||||4476|||||
"Дубравная улица"|"51"||||4477|||||
"Арбитраж"|||||4478|||||
"Сретенский бульвар"|"6/1"||"2"||4479|||||
"Мосгорсуд"|||||4480|||||
"проезд комсомольской площади"|"12"||||4481|||||
"Нижняя Сыромятническая улица"|"1/4"||||4482|||||
"Арбитражный суд"|||||4483|||||
"Арбитражный суд"|||||4484|||||
"Покровка"|"29"||"1"||4485|||||
"Черепановых проезд"|"28"||||4486|||||
"Рождественка улица"|"6/9/20"||||4487|||||
"Арбитражный суд"|||||4488|||||
"Арбитражный суд"|||||4489|||||
"Фадеева улица"|"5"||||4490|||||
"Троицкий р-ный суд г . Москвы"|||||4491|||||
"Серебрянный переулок"|"4"||"1"||4492|||||
"Столовый переулок"|"7"||"1"||4493|||||
"Арбитраж"|||||4494|||||
"Мясницкая улица"|"15"||||4495|||||
"Арбитражный суд"|||||4496|||||
"Гиляровского улица"|"38"||||4497|||||
"Мира проспект"|"119"||"518"||4498|||||
"Гоголевский бульвар"|"31"||"1,2,3"|"4"|4499|||||
"Дубравная улица"|"51"||||4500|||||
"Коптевский районный суд"|||||4501|||||
"Коптевский районный суд"|||||4502|||||
"Арбитражный суд"|||||4503|||||
"Арбитражный суд"|||||4504|||||
"Арбитражный суд"|||||4505|||||
"Арбитражный суд"|||||4506|||||
"Рождественский бульвар"|"6/9/20"||"1"||4507|||||
"Арбитражный суд"|||||4508|||||
"Газетный переулок"|"9"||"корп 5"||4509|||||
"Хамовничыеский р-ный суд"|||||4510|||||
"Арбитражный суд"|||||4511|||||
"Спасоглинищевский переулок"|||||4512|||||
"Мясницкая улица"|"14/2"||"1,3"||4513|||||
"Арбитражный суд"|||||4514|||||
"проезд Комсомольской площади"|"12"||||4515|||||
"Арбитраж"|||||4516|||||
"Рождественка улица"|"6/9/20"||"1"||4517|||||
"Арбитражный суд нет адреса"|||||4518|||||
"Арбитражный суд"|||||4519|||||
"Арбитражный суд"|||||4520|||||
"Лефортовский р-ный суд"|||||4521|||||
"Мясницкая улица"|"21/8"||"8-9"||4522|||||
"Арбитражный суд"|||||4523|||||
"Вятская улица"|"41А"||||4524|||||
"Кузнецкий Мост улица"|"19"||"1"||4525|||||
"3-й Люсиновский переулок"|"5"||||4526|||||
"Мясницкая улица"|"24/7"||"1"||4527|||||
"Арбитражный суд"|||||4528|||||
"5-й Котельнический переулок"|"1"||"1"||4529|||||
"3-й Люсиновский переулок"|"5"||||4530|||||
"Колпачный переулок"|"6"||||4531|||||
"Арбитражный суд"|||||4532|||||
"Уланский переулок"|"13"||"2"||4533|||||
"Театральный проезд"|"3"||"3"||4534|||||
"Пресненский р-ный"|||||4535|||||
"Мясницкая улица"|"15"||||4536|||||
"Арбитражный суд"|||||4537|||||
"Симоновский р-ный"|||||4538|||||
"Остоженка улица"|"3/14"||||4539|||||
"Покровка улица"|"38"||"5"||4540|||||
"Большой Головин переулок"|"22"||"1"||4541|||||
"Арбитражный суд"|||||4542|||||
"Арбитражный суд"|||||4543|||||
"Китайгородский проезд"|"7"||||4544|||||
"Арбитражный суд нет адреса"|||||4545|||||
"арбитражный суд"|||||4546|||||
"арбитражный суд нет адреса"|||||4547|||||
"Арбитражный суд"|||||4548|||||
"Арбитражный суд"|||||4549|||||
"Пресненский районый суд"|||||4550|||||
"Арбитражный суд"|||||4551|||||
"Арбитражный суд"|||||4552|||||
"Верховный суд РФ"|||||4553|||||
"Дубининская"|"51"||"4"||4554|||||
"Арбитражный"|||||4555|||||
"Арбитражный"|||||4556|||||
"Арбитраж нет адреса"|||||4557|||||
"Сретенский бульвар"|"6/1"||"2"||4558|||||
"Арбитраж нет адреса"|||||4559|||||
"Покровка улица"|"12"||"3"||4560|||||
"Маршала Василевского улица"|"11"||"6"||4561|||||
"Арбитражный суд"|||||4562|||||
"Вятская улица"|"41А"||||4563|||||
"Арбитражный суд нет адреса"|||||4564|||||
"Новый Арбат улица"|"7"||"1"||4565|||||
"Арбитражный суд нет адреса"|||||4566|||||
"1-й Кожевнический переулок"|"6"||||4567|||||
"Пятницкая улица"|"19"||||4568|||||
"Тверская улица"|"12"||"2"||4569|||||
"Малая Дмитровка улица"|"12"||"3"||4570|||||
"2-й Вышеславцев переулок"|"3"||||4571|||||
"Арбитраж нет адреса"|||||4572|||||
"Мясницкая улица"|"7"||"1,2"||4573|||||
"Арбитражный суд"|||||4574|||||
"Арбитраж нет адреса"|||||4575|||||
"Вятская улица"|"41А"||||4576|||||
"Арбитражный суд нет адреса"|||||4577|||||
"Арбитражный суд нет адреса"|||||4578|||||
"Лубянский проезд"|"15"||"2"||4579|||||
"Ленинградское шоссе"|"51-53"||||4580|||||
"Арбитраж нет адреса"|||||4581|||||
"Арбитражный нет адреса"|||||4582|||||
"Гороховский переулок"|"19"||"4"||4583|||||
"Николоямская улица"|"47"||||4584|||||
"Мясницкая улица"|"13"||"3"||4585|||||
"Ленинградский проспект"|"27"||||4586|||||
"Фрунзенская набережная"|"8"||||4587|||||
"Дмитровское шоссе"|"122Г, 122Д"|"корп. 1-18,20,22-33"|||4588|||||
"Рождественская улица"|"6/9/20"||"1"||4589|||||
"Воронцовский парк"|"7"||||4590|||||
"АСМ"|||||4591|||||
"Арбитраж нет адреса"|||||4592|||||
"головинский р-ный суд"|||||4593|||||
"Мясницкая улица"|"8/2"||"1"||4594|||||
"Бакунинская улица"|"81"||"3"||4595|||||
"Гончарная улица"|"12"||"1"||4596|||||
"Большая Никитская улица"|"31"||||4597|||||
"Воронцовский парк"|"1,2"||||4598|||||
"Арбитраж нет адреса"|||||4599|||||
"Арбитраж нет адреса"|||||4600|||||
"Мясницкая улица"|"24/7"||"1"||4601|||||
"Зубовский бульвар"|"15"||"2"||4602|||||
"Пресненский р-ный суд"|||||4603|||||
"Серафимовича улица"|"2"||||4604|||||
"Московский городской суд"|||||4605|||||
"2-й Вышеславцев переулок"|"3"||||4606|||||
"Сретенский бульвар"|"6/1"||"2"||4607|||||
"Арбитражный суд нет адреса"|||||4608|||||
"Кожевническая улица"|"18"||"2"||4609|||||
"Арбитражный суд города Москвы"|||||4610|||||
"Свободный  проспект"|"4"||"6,7"||4611|||||
"Шумкина улица"|"16"||"8"||4612|||||
"Голиковский переулок"|"14/11"||"1"||4613|||||
"Столешников переулок"|"6"||"3"||4614|||||
"Смоленская площадь"|"13/21"||||4615|||||
"Дмитровское шоссе"|"122Г корп 1, 3-11, 122Д корп 1-18,20, 22-33"||||4616|||||
"Арбитраж нет адреса"|||||4617|||||
|||||4618|||||
"Сивцев Вражек переулок"|"15/25"||||4619|||||
"Арбитражный суд"|||||4620|||||
"3-й Лучевой просек"|"12"||"1,6"||4621|||||
"Товарищеский переулок"|"24"||"4"||4622|||||
"Тверской бульвар"|"24"||"1"||4623|||||
"Ленинградский проспект"|"27"||||4624|||||
"Фадеева улица"|"5"||||4625|||||
"Бассманый р-ный суд"|||||4626|||||
"Арбитражный суд без адреса"|||||4627|||||
"Тверской р-ный суд"|||||4628|||||
"Пресненский р-ный"|||||4629|||||
"Пресненский р-ный суд"|||||4630|||||
"Кожевническая улица"|"22"||||4631|||||
"Трехсвятительский пер."|"3"||||4632|||||
"Воронцовская улица"|"4"||"1"||4633|||||
"Сретенский бульвар"|"6"||||4634|||||
"Каретный Ряд улица"|"8"||||4635|||||
"Арбитражный суд"|||||4636|||||
"Хамовнический р-ный суд"|||||4637|||||
"Арбитражный суд"|||||4638|||||
"Московский городской суд"|||||4639|||||
"Трубниковский переулок"|"24"||"1"||4640|||||
"Головинский р-ный суд"|||||4641|||||
"Арбитраж нет адреса"|||||4642|||||
"Арбитражный суд нет адреса"|||||4643|||||
"Варшавское шоссе"|"5"||"1, 2"||4644|||||
"Останкинский р-ный суд (шухова 10, стр. 2)"|||||4645|||||
"Мосреставрация"|||||4646|||||
"Большая Никитская улица"|"22/2"||||4647|||||
"Арбитраж нет адреса"|||||4648|||||
"Арбитраж"|||||4649|||||
"Кировоградская улица"|"12Б"||||4650|||||
"Милютинский переулок"|"18"||"1,2,3,4"||4651|||||
"Пятницкая улица"|"30"||"4"||4652|||||
"Большой Трёхгорный переулок"|"1-1А"||"1"||4653|||||
"Мосгорсуд"|||||4654|||||
"Арбитражный суд"|||||4655|||||
"Арбитражный суд"|||||4656|||||
"Арбитражный суд"|||||4657|||||
"Проезд Комсомольской площади"|"12"||||4658|||||
"Арбитражный суд без адреса"|||||4659|||||
"Арбитражный суд"|||||4660|||||
"Большой Трехгоный пер"|"1/26"||||4661|||||
"Арбитраж"|||||4662|||||
"Мещанский р-ный суд"|||||4663|||||
"Арбитраж нет адреса"|||||4664|||||
"Поварская улица"|"26"||||4665|||||
"Арбитражный суд"|||||4666|||||
"Поварская улица"|"31/29"||"2"||4667|||||
"Арбитраж нет адреса"|||||4668|||||
"Арбитраж нет адреса"|||||4669|||||
"Арбитражный суд без адреса"|||||4670|||||
"Малая Дмитровка улица"|"вл. 16"||||4671|||||
"Лефортовский р-ный суд"|||||4672|||||
"Тверской бульвар"|"18"||"2"||4673|||||
"Пятницкая улица"|"1/2"||"1"||4674|||||
"Арбитраж нет адреса"|||||4675|||||
"Большая Филевская"|"3"||"1А"||4676|||||
"Арбитраж нет адреса"|||||4677|||||
"Колодезный переулок"|"2А"||||4678|||||
"Подсосенский переулок"|"21"||"1"||4679|||||
"Мещанский р-ный суд"|||||4680|||||
"Большая Сухаревская площадь"|"9"||||4681|||||
"Михайловская"|"48"||"2"||4682|||||
"Мясницкая улица"|"24/7"||"2"||4683|||||
"Арбитраж нет адреса"|||||4684|||||
"Арбитраж без адреса"|||||4685|||||
"Поварская улица"|"26"||||4686|||||
"Арбитражный суд без адреса"|||||4687|||||
"Замоскворецкий р-ный суд"|||||4688|||||
"Арбитраж без адреса"|||||4689|||||
"3-й Зачатьевский переулок"|"3"||||4690|||||
"Барышиха улица"|"24"||||4691|||||
"Рождественка улица"|"6/9/20"||"1"||4692|||||
"Вятская улица"|"41А"||||4693|||||
"Покровский бульвар"|"16-18"||"4-4а"||4694|||||
"Арбитраж"|||||4695|||||
"Тверская улица"|"6"||"2"||4696|||||
"Арбитражный без адреса"|||||4697|||||
"1-й Самотёчный переулок"|"17А"||||4698|||||
"Сретенский бульвар"|"6/1"||"2"||4699|||||
"Старые Кузьминки"|"9"||||4700|||||
"Арбитраж без адреса"|||||4701|||||
"Певческий переулок"|"4"||"2"||4702|||||
"Арбитраж без адреса"|||||4703|||||
"Арбитраж без адреса"|||||4704|||||
"Хохловский переулок"|"10"||"6"||4705|||||
"Мира проспект"|"28"||||4706|||||
"Арбитраж без адреса"|||||4707|||||
"Арбитраж без адреса"|||||4708|||||
"Таманская улица"|"2"||"1"||4709|||||
"Арбитражный суд без адреса"|||||4710|||||
"Кудринская площадь"|"1"||||4711|||||
"Солянка улица"|"14"|"3,5,6,7"|||4712|||||
"Саломеи Нерис улица"|"4"||||4713|||||
"Арбитраж без адреса"|||||4714|||||
"Большая Дмитровка улица"|"21/7"||"кв 37"||4715|||||
"Котельническая набережная"|"1/15"||"корп. В"||4716|||||
"Арбитраж без адреса"|||||4717|||||
"Большой Факельный переулок"|"18"||||4718|||||
"Верхняя Радищевская улица"|"8"||"1"||4719|||||
"Арбитраж без адреса"|||||4720|||||
"Рождественка улица"|"6/9/20"||"1"||4721|||||
"Арбитраж нет адреса"|||||4722|||||
"Преображенский Вал улица"|"25А"||"17"||4723|||||
"Арбитраж без адреса"|||||4724|||||
"Котельническая набережная"|"1/15"||"В"||4725|||||
"Скатертный переулок"|"30"||"1"||4726|||||
"Тимура Фрунзе улица"|"11"||"49"||4727|||||
"Максимова улица"|"8"||||4728|||||
"Арбат улица"|"25/36"||||4729|||||
"Арбитражный суд без адреса"|||||4730|||||
"Вятская улица"|"41А"||||4731|||||
"Калошин переулок"|"2/24"||||4732|||||
"Арбитраж без адреса"|||||4733|||||
"Ленинградское шоссе"|"10"||||4734|||||
"Знаменка улица"|"7"||"3"||4735|||||
"Сретенский бульвар"|"6/1"||"2"||4736|||||
"Арбитраж нет адреса"|||||4737|||||
"Петровка улица"|"30/7"||||4738|||||
"Арбитржа нет адреса"|||||4739|||||
"Арбат улица"|"25/36"||||4740|||||
"Пресненский р-ный суд"|||||4741|||||
"Романов переулок"|"3"||"1"||4742|||||
"Арбитражный суд"|||||4743|||||
"Пятницкая 36"|||||4744|||||
"Маросейка улица"|"4/2"||"3"||4745|||||
"Крымский Вал улица"|"9"||"25"||4746|||||
"Арбитражный без адреса"|||||4747|||||
"Арбитраж без адреса"|||||4748|||||
"Арбитраный без адреса"|||||4749|||||
"Арбитраж без адреса"|||||4750|||||
"Арбитражный суд"|||||4751|||||
"Зубовский бульвар"|"27/26"||||4752|||||
"Цветной бульвар"|"5"||||4753|||||
"Садовая-Кудринская улица"|"32"||"2"||4754|||||
"Фадеева улица"|"5"||"1"||4755|||||
"Станиславского"|"21"||"22"||4756|||||
"Крымский Вал улица"|"2"||||4757|||||
"Арбитраж без адреса"|||||4758|||||
"Пятницкая улица"|"6/1"||"8"||4759|||||
"Большой Гнездниковский переулок"|"10"||||4760|||||
"Большая Андроньевская улица"|"7/14"||"1,2,3"||4761|||||
"Мантулинская улица"|"5"||"11"||4762|||||
"Армянский переулок"|"11А/2"||"1А"||4763|||||
"Арбитраж без адреса"|||||4764|||||
"Сретенский бульвар"|"6/1"||"1,2"||4765|||||
"3-й Зачатьевский переулок"|"3"||||4766|||||
"Арбитражный суд"|||||4767|||||
"Пятницкая улица"|"19"||||4768|||||
"Арбитраж без адреса"|||||4769|||||
"Мира проспект"|"119"||"60"||4770|||||
"Арбитражный суд без адреса"|||||4771|||||
"Большая Ордынка улица"|"63"||||4772|||||
"Сретенский бульвар"|"6/1"||"1"||4773|||||
"Арбитраж без адреса"|||||4774|||||
"Знаменка улица"|"7"||"3"||4775|||||
"Большой Дровяной переулок"|"4"||"1"||4776|||||
"Арбитраж без адреса"|||||4777|||||
"Арбитраж без адреса"|||||4778|||||
"Старосадский переулок"|"3"||"3"||4779|||||
"Знаменка улица"|"7"||"3"||4780|||||
"Мароновский переулок"|"22"||"1"||4781|||||
"Крымский Вал улица"|"9"||"22Д"||4782|||||
"Спиридоновка улица"|"22/2"||||4783|||||
"Михалковская улица"|"38"||"3"||4784|||||
"Ольховский тупик"|"6"||"2"||4785|||||
"Мясницкая улица"|"13"||"20"||4786|||||
"1-я Брестская улица"|"60"||"1"||4787|||||
"Новая Басманная улица"|"9"||||4788|||||
"Лефортовкий районный суд"|||||4789|||||
"Лефортовкий районный суд"|||||4790|||||
"Котельническая набережная"|"1/15"||"А (кв.105)"||4791|||||
"Котельническая набережная"|"1/15"||"В (кв. 34)"||4792|||||
"Котельническая набережная"|"1/15"||"А (кв.111)"||4793|||||
"Котельническая набережная"|"1/15"||"А (кв.218)"||4794|||||
"Кусково парк"|||||4795|||||
"Арбитраж без адреса"|||||4796|||||
"Арбат улица"|"28/1"||"1"||4797|||||
"Фрунзенская набережная"|"12"||||4798|||||
"Маршала Новикова улица"|"1,3"||||4799|||||
"Арбитраж без адреса"|||||4800|||||
"Мытная улица"|"52"||||4801|||||
"Большой Демидовский переулок"|"17/1"||"2"||4802|||||
"Столовый переулок"|"7"||"1"||4803|||||
"Мясницкая улица"|"24/7"||"3"||4804|||||
"Пречистенский переулок"|"20"||||4805|||||
"Старосадский переулок"|"3"||"3"||4806|||||
"Арбитраж без адреса"|||||4807|||||
"Спасский тупик"|"4"||||4808|||||
"Арбат улица"|"25/36"||"1"||4809|||||
"Арбитраж без адреса"|||||4810|||||
"Большой Сухаревский переулок"|"23,25"||"1,2"||4811|||||
"Пречистенка улица"|"8"||"1"||4812|||||
"Арбитраж без адреса"|||||4813|||||
"Арбитраж без адреса"|||||4814|||||
"Арбитраж без адреса"|||||4815|||||
"Пятницкая улица"|"6/1"||"8"||4816|||||
"Пятницкая улица"|"36"||||4817|||||
"Большая Никитская улица"|"22/2"||||4818|||||
"Таганская площадь"|"86/1"||"1"||4819|||||
"Мосгорсуд"|||||4820|||||
"Красноказарменная улица"|"3"||"кв. 100-102"||4821|||||
"Пятницкая улица"|"19"||||4822|||||
"Лихов переулок"|"4"||"2"||4823|||||
"Столовый переулок"|"7"||"1"||4824|||||
"Пятницкая улица"|"19"||||4825|||||
"Хамовнический р-ный суд"|||||4826|||||
"Чоботовский проезд ?"|"4"||"1"||4827|||||
"Никитский бульвар"|"12"||||4828|||||
"Маросейка улица"|"6/8"||"1"||4829|||||
"Средний Тишинский переулок"|"5/7"||"1"||4830|||||
"Садовая-Сухаревская улица"|"14"||"1"||4831|||||
"Рудневой улица"|"6"||||4832|||||
"Арбитраж без адреса"|||||4833|||||
"Рождественка улица"|"6/9/20"||||4834|||||
"Петровка улица"|"30/7"||||4835|||||
"Знаменка улица"|"7"||"3"||4836|||||
"Рождественка улица"|"6/9/20"||||4837|||||
"Арбат улица"|"28/1"||"1"||4838|||||
"Маросейка улица"|"2/15"||"1"||4839|||||
"Волхонка улица"|"11"||||4840|||||
"Арбитраж без адреса"|||||4841|||||
"Малый Знаменский переулок"|"3/5"||"4"||4842|||||
"Скатертный переулок"|"4/2"||"2"||4843|||||
"Тимирязевский р-ный"|||||4844|||||
"Фрунзенская набережная"|"12"||||4845|||||
"Маросейка улица"|"2/15"||||4846|||||
"Рождественка улица"|"6/9/20"||||4847|||||
"Сергия Радонежского улица"|"19"||"3"||4848|||||
"Гончарная улица"|"14"||||4849|||||
"Мира проспект"|"22"||||4850|||||
"Пресненский переулок"|||||4851|||||
"Тимирязевский р-ный"|||||4852|||||
"Пятницкая улица"|"1/2"||"1"||4853|||||
"Спиридоновка улица"|"30/1"||||4854|||||
"Подсосенский переулок"|"23"||"4"||4855|||||
"Арбитраж без адреса"|||||4856|||||
"Арбитраж без адреса"|||||4857|||||
"Арбитраж без адреса"|||||4858|||||
"Подсосенский переулок"|"23"||"8"||4859|||||
"Хромова улица"|"40"||||4860|||||
"Хитровский переулок"|"3/1"||"2"||4861|||||
"Арбат улица"|"25/36"||||4862|||||
"Подкопаевский переулок"|"2/6"||"1"||4863|||||
"Арбитраж без адреса"|||||4864|||||
"Пресненский р-ный суд"|||||4865|||||
"2-й Верхний Михайловский проезд"|"2"||||4866|||||
"Покровка улица"|"17"||"1"||4867|||||
"Коробейников переулок"|"1"||"5"||4868|||||
"Бакунинская улица"|"38-42"||"1"||4869|||||
"Покровка улица"|"17"||"1"||4870|||||
"Авиамоторная улица"|"63"||"1"||4871|||||
"Кузнецкий Мост улица"|"3"||"2"||4872|||||
"Колпачный переулок"|"6"||"2"||4873|||||
"Котельническая набережная"|"1/15"||"А"||4874|||||
"Таганская улица"|"24"||"1"||4875|||||
"Тверской р-ный суд(мосгорсуд)"|||||4876|||||
"Александра Солженицина"|||||4877|||||
"Сретенский бульвар"|"6/1"||"2"||4878|||||
"Новокузнецкая улица"|"40, 42"||"1,2"||4879|||||
"Мира проспект"|"102"||"корп. 36"||4880|||||
"Петроверигский переулок"|"6-8-10"||"1"||4881|||||
"Арбитраж без адреса"|||||4882|||||
"Фрунзенская набережная"|"12"||||4883|||||
"Арбитраж нет адреса"|||||4884|||||
"Космодамианская набережная"|"28"||"1"||4885|||||
"Подкопаевский переулок"|"8/13/5"||||4886|||||
"Арбитраж без Адреса"|||||4887|||||
"Малый Знаменский переулок"|"3/5"||"4,7"||4888|||||
"Хамовнический р-ный суд"|||||4889|||||
"Пресненский р-ный"|||||4890|||||
"Мещанский р-ный"|||||4891|||||
"Фрунзенская набережная"|"12"||||4892|||||
"Арбитраж без адреса"|||||4893|||||
"Арбитражный суд"|||||4894|||||
"Каретный Ряд улица"|"3"||||4895|||||
"Садовая-Самотёчная улица"|"20"||"1"||4896|||||
"Старая Басманная улица"|"15А"||"4"||4897|||||
"Арбитраж без адреса"|||||4898|||||
"Володарского"|"12"||"1"||4899|||||
"Мясницкая улица"|"15"||||4900|||||
"Покровка улица"|"17"||"1"||4901|||||
"Арбитраж без Адреса"|||||4902|||||
"Лефортовский р-ный суд"|||||4903|||||
"Подольский р-н сп Рязановское, с. Остафьево"|||||4904|||||
"Каретный Ряд улица"|"3"||"7"||4905|||||
"Арбитраж без адреса"|||||4906|||||
"Спиридоновка улица"|"22/2"||||4907|||||
"Арбитраж без адреса"|||||4908|||||
"Каретный Ряд улица"|"8"||||4909|||||
"Серафимовича улица"|"2"||||4910|||||
"Волоколамское шоссе"|"52"||||4911|||||
"Новинский бульвар"|"11"||||4912|||||
"Михалковская улица"|"48"||"2"||4913|||||
"Арбитраж без Адреса"|||||4914|||||
"Малая Якиманка улица"|"24"||||4915|||||
"Преображенский Вал улица"|"25"||"1,2,3,4"||4916|||||
"Мещанский р-ный суд"|||||4917|||||
"Колпачный переулок"|"4"||"3"||4918|||||
"Мосгорсуд"|||||4919|||||
"Арбитраж без адреса"|||||4920|||||
"Воронцовская улица"|"19А"||"1"||4921|||||
"Арбитраж без адреса"|||||4922|||||
"Арбитраж без адреса"|||||4923|||||
"Кожевническая улица"|"19"||"6"||4924|||||
"Серафимовича улица"|"2"||||4925|||||
"Хорошевский районный суд"|||||4926|||||
"Арбитраж без адреса"|||||4927|||||
"Хамовничекий без адреса"|||||4928|||||
"Арбитраж без адреса"|||||4929|||||
"Замоскворецкий р-ный"|||||4930|||||
"Садовническая улица"|"10"||"1"||4931|||||
"Большая Серпуховская улица"|"27"||"1"||4932|||||
"Леонтьевский переулок"|"2/26"||"1"||4933|||||
"Арбитражный"|||||4987|||||
"Еропкинский переулок"|"16"||||4988|||||
"Вишняковский переулок"|"15"||"3"||4989|||||
"Фридриха Энгельса улица"|"23"||"3"||4990|||||
"АСМ"|||||4991|||||
"Басманный р-ный"|||||4992|||||
"Бауманская улица"|"44"||"1"||4993|||||
"Киевский, Белорусский вокзалы"|||||4994|||||
"Большая Ордынка улица"|"34"||||4995|||||
"Большой Спасоглинищевский переулок"|"9/1"||"16"||4996|||||
"Кожевническая улица"|"22"||||4997|||||
"Пятницкая улица"|"1/2"||"1"||4998|||||
"Малый Власьевский переулок"|"2/18"||"3"||4999|||||
"Арбитражный (уточнить)"|||||5000|||||
"Рождественка улица"|"52"||||5001|||||
"Арбитражный суд"|||||5002|||||
"останкинский р-ный"|||||5003|||||
"Товарищеский переулок"|"3"||||5004|||||
"Лестева улица"|"19"|"корп1"|"кв. 19"||5005|||||
"Малая Ордынка улица"|"18"||"1,2"||5006|||||
"Бауманская улица"|"44"||"1"||5007|||||
"Скаковая улица"|"3"||||5008|||||
"Миусская площадь"|"6"||"7"||5009|||||
"Арбитраж без адреса"|||||5010|||||
"Кожевническая улица"|"19"||"6"||5011|||||
"Арбитраж без адреса"|||||5012|||||
"Дмитровское шоссе"|"165"||||5013|||||
"усадьба Щербинка"|||||5014|||||
"Крутицкая улица"|"13"||||5015|||||
"Арбитраж"|||||5016|||||
"Скаковая улица"|"3"||||5017|||||
"Дмитровское шоссе"|"165"||||5018|||||
"Вятская улица"|"41А"||||5019|||||
"Садова-спасская ул"|"1/2"||"4"||5020|||||
"Плющиха улица"|"64/6"||"1,2"||5021|||||
"Маросейка улица"|"4/2"||"1"||5022|||||
"Хамовнический р-ный"|||||5023|||||
"Остоженка улица"|"37/7"||"3"||5024|||||
"Большая Дмитровка улица"|"9"||"1"||5025|||||
"Арбитражный суд"|||||5026|||||
"Кузнецкий Мост улица"|"3"||"2"||5027|||||
"Мясницкая улица"|"18"||"1"||5028|||||
|||||5029|||||
"Поленова улица"|"3"||||5030|||||
"Сретенский бульвар"|"6/1"||"1"||5031|||||
"Покровка улица"|"27"||"1"||5032|||||
"Юности улица"|"2"||"5"||4934|||||
"Спиридоновка улица"|"22/2"||||4935|||||
"Старые Кузьминки"|"6"||||4936|||||
"Спартаковская улица"|"3"||"3"||4937|||||
"Деревня Сатино-русское"|"12"||||4938|||||
"Смоленская улица"|"13/21"||||4939|||||
"Старомонетный переулок"|"9"||"1"||4940|||||
"Колодезный переулок"|"2а"||"2"||4941|||||
"Сергия Радонежского улица"|"1/2"||"1"||4942|||||
"Арбитражный суд"|||||4943|||||
"Кудринская площадь"|"1А"||||4944|||||
"Старомонетный переулок"|"9"||"1"||4945|||||
"Романов переулок"|"7"||||4946|||||
"Бауманская улица"|"36"||||4947|||||
"Олсуфьевский переулок"|"6"||"3,4"||4948|||||
"Госпитальная улица"|"1/10"||||4949|||||
"Большой Дровяной переулок"|"10"||||4950|||||
"Гвастелло"|"42"||||4951|||||
"Еропкинский переулок"|"16"||"1"||4952|||||
"Мясницкая улица"|"24/7"||"1"||4953|||||
"Арбитраж"|||||4954|||||
"Арбитражный суд"|||||4955|||||
"Таганский р-нывй суд"|||||4956|||||
"Еропкинский переулок"|"16"||||4957|||||
"Покровка улица"|"17"||"1"||4958|||||
"Большой Козловский переулок"|"13/17"||||4959|||||
"Пятницкая улица"|"48"||"4"||4960|||||
"Никольская улица"|"7-9"||"1,2,5"||4961|||||
"Арбитраж без адреса"|||||4962|||||
"Большая Ордынка улица"|"7"||"2"||4963|||||
"Тверская улица"|"14"||||4964|||||
"Пятницкая улица"|"15"||||4965|||||
"Селезневская ул"|"11"||"2,3а"||4966|||||
"Большая Ордынка улица"|"34"||||4967|||||
"2-я Тверская-Ямская улица"|"2"||||4968|||||
"Арбитраж"|||||4969|||||
"Чаплыгина улица"|"6"||||4970|||||
"Таганский р-ный"|||||4971|||||
"д. Милюково, ул. Монастырская,"|||" 20"||4972|||||
"Арбитраж"|||||4973|||||
"Мясницкая улица"|"24/7"||"1"||4974|||||
"Покровка улица"|"17"||||4975|||||
"Еропкинский переулок"|"16"||||4976|||||
"Бакунинская улица"|"81/55"||"1,4,5"||4977|||||
"Кожевническая улица"|"22"||||4978|||||
"Арбитражный дебиторка"|||||4979|||||
"Кропоткинский переулок"|"10"||"1"||4980|||||
"Покровка улица"|"17"||"1"||4981|||||
"Старая Басманная улица"|"12"||"3"||4982|||||
"Арбитражный"|||||4983|||||
"Иваньковское шоссе"|"вл. 8"||"2,7,10,11,15,16,17,лит.А"||4984|||||
"Большая Дмитровка улица"|"18"||||4985|||||
"Новая Басманная улица"|"13/2"||"1"||4986|||||
